goal_index,date,competition_code,competition,home_team,away_team,result,minute_raw,minute_base,minute_added,minute_total,what,how,is_penalty,is_official,source_url
862,2025-05-28,PRM Major League Soccer,PRM Major League Soccer,Inter Miami CF,CF Montreal,4-2,27,27,0,27,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
863,2025-05-28,PRM Major League Soccer,PRM Major League Soccer,Inter Miami CF,CF Montreal,4-2,87,87,0,87,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
864,2025-05-31,PRM Major League Soccer,PRM Major League Soccer,Inter Miami CF,Columbus Crew,5-1,15,15,0,15,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
865,2025-05-31,PRM Major League Soccer,PRM Major League Soccer,Inter Miami CF,Columbus Crew,5-1,24,24,0,24,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
866,2025-06-19,WCT FIFA Club World Cup,WCT FIFA Club World Cup,Inter Miami CF,FC Porto,2-1,54,54,0,54,Free kick,Left foot,0,1,https://www.messistats.com/en/locationsscored
867,2025-07-05,PRM Major League Soccer,PRM Major League Soccer,CF Montreal,Inter Miami CF,1-4,40,40,0,40,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
868,2025-07-05,PRM Major League Soccer,PRM Major League Soccer,CF Montreal,Inter Miami CF,1-4,62,62,0,62,Solo run,Left foot,0,1,https://www.messistats.com/en/locationsscored
869,2025-07-09,PRM Major League Soccer,PRM Major League Soccer,New England Revolution,Inter Miami CF,1-2,27,27,0,27,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
870,2025-07-09,PRM Major League Soccer,PRM Major League Soccer,New England Revolution,Inter Miami CF,1-2,38,38,0,38,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
871,2025-07-12,PRM Major League Soccer,PRM Major League Soccer,Inter Miami CF,Nashville SC,2-1,17,17,0,17,Free kick,Left foot,0,1,https://www.messistats.com/en/locationsscored
872,2025-07-12,PRM Major League Soccer,PRM Major League Soccer,Inter Miami CF,Nashville SC,2-1,62,62,0,62,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
873,2025-07-19,PRM Major League Soccer,PRM Major League Soccer,New York Red Bulls,Inter Miami CF,1-5,60,60,0,60,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
874,2025-07-19,PRM Major League Soccer,PRM Major League Soccer,New York Red Bulls,Inter Miami CF,1-5,75,75,0,75,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
875,2025-08-16,PRM Major League Soccer,PRM Major League Soccer,Inter Miami CF,Los Angeles Galaxy,3-1,84,84,0,84,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
876,2025-08-27,NAM Leagues Cup,NAM Leagues Cup,Inter Miami CF,Orlando City,3-1,77,77,0,77,Penalty,Left foot,1,1,https://www.messistats.com/en/locationsscored
877,2025-08-27,NAM Leagues Cup,NAM Leagues Cup,Inter Miami CF,Orlando City,3-1,88,88,0,88,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
878,2025-09-04,WCQ World Cup 2026 Qualification,WCQ World Cup 2026 Qualification,Argentina,Venezuela,3-0,39,39,0,39,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
879,2025-09-04,WCQ World Cup 2026 Qualification,WCQ World Cup 2026 Qualification,Argentina,Venezuela,3-0,80,80,0,80,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
880,2025-09-16,PRM Major League Soccer,PRM Major League Soccer,Inter Miami CF,Seatlle Sounders,3-1,41,41,0,41,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
881,2025-09-20,PRM Major League Soccer,PRM Major League Soccer,Inter Miami CF,D.C. United,3-2,66,66,0,66,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
882,2025-09-20,PRM Major League Soccer,PRM Major League Soccer,Inter Miami CF,D.C. United,3-2,85,85,0,85,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
883,2025-09-24,PRM Major League Soccer,PRM Major League Soccer,New York City FC,Inter Miami CF,0-4,74,74,0,74,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
884,2025-09-24,PRM Major League Soccer,PRM Major League Soccer,New York City FC,Inter Miami CF,0-4,86,86,0,86,Field goal,Right foot,0,1,https://www.messistats.com/en/locationsscored
885,2025-10-11,PRM Major League Soccer,PRM Major League Soccer,Inter Miami CF,Atlanta United FC,4-0,39,39,0,39,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
886,2025-10-11,PRM Major League Soccer,PRM Major League Soccer,Inter Miami CF,Atlanta United FC,4-0,87,87,0,87,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
887,2025-10-19,PRM Major League Soccer,PRM Major League Soccer,Nashville SC,Inter Miami CF,2-5,35,35,0,35,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
888,2025-10-19,PRM Major League Soccer,PRM Major League Soccer,Nashville SC,Inter Miami CF,2-5,63,63,0,63,Penalty,Left foot,1,1,https://www.messistats.com/en/locationsscored
889,2025-10-19,PRM Major League Soccer,PRM Major League Soccer,Nashville SC,Inter Miami CF,2-5,81,81,0,81,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
890,2025-10-24,PRM Major League Soccer Play Offs,PRM Major League Soccer Play Offs,Inter Miami CF,Nashville SC,3-1,19,19,0,19,Field goal,Head,0,1,https://www.messistats.com/en/locationsscored
891,2025-10-24,PRM Major League Soccer Play Offs,PRM Major League Soccer Play Offs,Inter Miami CF,Nashville SC,3-1,90+6,90,6,96,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
892,2025-11-01,PRM Major League Soccer Play Offs,PRM Major League Soccer Play Offs,Nashville SC,Inter Miami CF,2-1,90,90,0,90,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
893,2025-11-08,PRM Major League Soccer Play Offs,PRM Major League Soccer Play Offs,Inter Miami CF,Nashville SC,4-0,10,10,0,10,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
894,2025-11-08,PRM Major League Soccer Play Offs,PRM Major League Soccer Play Offs,Inter Miami CF,Nashville SC,4-0,39,39,0,39,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
895,2025-11-14,FRN International friendly,FRN International friendly,Angola,Argentina,0-2,82,82,0,82,Field goal,Left foot,0,0,https://www.messistats.com/en/locationsscored
896,2025-11-23,PRM Major League Soccer Play Offs,PRM Major League Soccer Play Offs,FC Cincinnati,Inter Miami CF,0-4,19,19,0,19,Field goal,Head,0,1,https://www.messistats.com/en/locationsscored
